TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON_ID
1610612760,Oklahoma City Thunder,18,11,7,0.611,864.0,108.5,111.3,103.2,105.8,5.3,5.5,0.536,1.48,15.5,0.339,0.727,0.535,0.145,0.501,0.551,98.0,95.61,79.68,1721,0.533,4,3,13,3,4,2,9,3,11,9,8,1,8,1,11,5,5,7,6,2015-16
1610612757,Portland Trail Blazers,11,5,6,0.455,533.0,104.5,106.3,108.7,108.5,-4.2,-2.3,0.581,1.65,15.8,0.303,0.734,0.513,0.132,0.483,0.523,98.8,98.03,81.69,1087,0.466,6,7,11,7,6,6,12,9,6,7,7,5,6,5,6,9,9,2,10,2015-16
1610612759,San Antonio Spurs,10,6,4,0.6,480.0,107.1,109.8,99.5,100.5,7.6,9.3,0.55,1.84,17.0,0.27,0.686,0.485,0.125,0.519,0.557,94.3,92.65,77.21,929,0.568,7,6,1,4,8,3,1,2,8,3,4,9,13,10,4,4,4,8,1,2015-16
1610612761,Toronto Raptors,20,10,10,0.5,975.0,99.0,101.7,105.6,106.4,-6.6,-4.7,0.458,1.21,12.9,0.307,0.737,0.507,0.142,0.463,0.507,92.0,90.39,75.32,1837,0.446,3,4,16,5,3,12,10,10,14,14,15,4,5,6,8,12,11,15,11,2015-16
1610612737,Atlanta Hawks,6,2,4,0.333,288.0,103.5,107.3,106.0,107.7,-2.5,-0.5,0.596,1.4,16.4,0.322,0.731,0.526,0.163,0.493,0.542,101.3,98.67,82.22,590,0.487,10,10,2,10,11,10,3,7,4,14,7,3,9,2,15,12,11,4,6,2016-17
1610612738,Boston Celtics,18,9,9,0.5,869.0,108.5,110.4,111.3,113.5,-2.8,-3.1,0.702,2.0,20.1,0.261,0.682,0.468,0.141,0.532,0.566,96.5,94.76,78.96,1716,0.482,1,3,16,5,1,5,12,9,1,2,1,11,15,15,11,3,3,9,9,2016-17
1610612741,Chicago Bulls,6,2,4,0.333,288.0,102.6,103.6,108.9,110.5,-6.3,-6.9,0.55,1.3,15.7,0.316,0.747,0.532,0.165,0.483,0.529,94.5,93.33,77.78,559,0.467,10,10,2,10,11,14,9,13,9,15,12,4,4,1,16,15,14,11,14,2016-17
1610612739,Cleveland Cavaliers,18,13,5,0.722,864.0,118.1,119.9,108.3,111.8,9.7,8.1,0.539,1.69,16.9,0.269,0.704,0.497,0.135,0.579,0.614,99.2,96.89,80.74,1745,0.538,1,2,10,2,2,1,11,2,11,4,4,9,12,9,6,1,1,7,2,2016-17
1610612744,Golden State Warriors,17,16,1,0.941,816.0,116.3,118.2,102.8,105.3,13.6,12.9,0.658,2.07,20.0,0.278,0.732,0.522,0.135,0.567,0.608,102.7,100.68,83.9,1716,0.588,3,1,1,1,3,2,2,1,2,1,2,8,8,4,7,2,2,2,1,2016-17
1610612745,Houston Rockets,11,6,5,0.545,533.0,107.2,110.1,107.1,108.9,0.2,1.2,0.524,1.4,14.9,0.282,0.679,0.483,0.143,0.514,0.559,99.0,96.9,80.75,1076,0.484,6,6,10,3,6,7,4,3,13,13,14,7,16,11,12,7,6,6,7,2016-17
1610612754,Indiana Pacers,4,0,4,0.0,192.0,111.0,114.5,115.9,119.0,-4.9,-4.5,0.556,1.7,16.9,0.338,0.711,0.519,0.139,0.53,0.564,97.6,94.88,79.06,380,0.483,15,15,2,15,15,3,15,10,6,3,5,1,11,5,9,4,4,8,8,2016-17
1610612746,LA Clippers,7,3,4,0.429,336.0,106.2,107.9,108.0,109.0,-1.8,-1.1,0.506,1.52,15.5,0.247,0.782,0.508,0.134,0.526,0.558,91.8,90.64,75.54,634,0.481,9,9,2,7,9,9,5,8,15,12,13,12,1,7,4,5,7,14,10,2016-17
1610612763,Memphis Grizzlies,6,2,4,0.333,293.0,107.3,109.9,116.8,119.2,-9.5,-9.3,0.543,1.66,16.2,0.246,0.692,0.466,0.129,0.51,0.559,88.2,86.25,71.88,526,0.458,10,10,2,10,10,8,16,15,10,6,10,13,13,16,2,9,5,16,15,2016-17
1610612749,Milwaukee Bucks,6,2,4,0.333,288.0,100.7,103.3,101.5,103.7,-0.8,-0.4,0.608,1.59,17.4,0.243,0.74,0.482,0.148,0.503,0.533,92.5,90.33,75.28,541,0.49,10,10,2,10,11,15,1,6,3,9,3,14,5,12,13,11,13,15,5,2016-17
1610612760,Oklahoma City Thunder,5,1,4,0.2,240.0,104.3,105.0,109.7,113.7,-5.4,-8.7,0.513,1.55,14.8,0.293,0.686,0.481,0.129,0.49,0.525,101.3,99.2,82.67,496,0.477,14,14,2,14,14,12,13,14,14,10,15,6,14,13,1,14,15,3,11,2016-17
1610612757,Portland Trail Blazers,4,0,4,0.0,192.0,96.3,100.0,114.6,116.9,-18.3,-16.9,0.444,1.03,12.0,0.264,0.736,0.481,0.15,0.458,0.507,104.9,101.88,84.9,406,0.368,15,15,2,15,15,16,14,16,16,16,16,10,7,14,14,16,16,1,16,2016-17
1610612759,San Antonio Spurs,16,8,8,0.5,778.0,110.3,112.8,109.5,111.6,0.7,1.2,0.533,1.67,16.2,0.327,0.737,0.526,0.134,0.512,0.551,95.7,93.72,78.1,1518,0.507,4,4,15,5,4,4,10,4,12,5,8,2,6,3,5,8,9,10,3,2016-17
1610612761,Toronto Raptors,10,4,6,0.4,480.0,101.3,104.2,107.9,110.1,-6.6,-5.9,0.555,1.52,16.0,0.241,0.759,0.499,0.139,0.493,0.541,95.2,92.9,77.42,928,0.47,8,7,12,8,8,13,6,12,7,11,11,15,3,8,8,13,12,13,12,2016-17
1610612762,Utah Jazz,11,4,7,0.364,528.0,104.1,105.2,109.2,110.4,-5.1,-5.2,0.554,1.63,16.2,0.206,0.769,0.485,0.13,0.515,0.552,94.0,92.95,77.46,1023,0.469,6,7,14,9,7,11,7,11,8,8,9,16,2,10,3,6,8,12,13,2016-17
1610612764,Washington Wizards,13,7,6,0.538,629.0,106.9,110.2,108.2,110.5,-1.3,-0.3,0.568,1.65,16.8,0.315,0.719,0.513,0.14,0.505,0.549,99.7,97.18,80.99,1275,0.501,5,5,12,4,5,6,8,5,5,7,6,5,10,6,10,10,10,5,4,2016-17
1610612738,Boston Celtics,19,11,8,0.579,922.0,105.1,107.1,104.6,106.2,0.5,0.9,0.582,1.82,16.5,0.256,0.747,0.494,0.123,0.5,0.541,95.3,93.74,78.11,1799,0.499,3,3,15,3,3,9,5,5,7,3,10,8,6,11,2,13,12,13,6,2017-18
1610612739,Cleveland Cavaliers,22,12,10,0.545,1066.0,106.5,108.3,108.5,111.1,-2.0,-2.8,0.522,1.52,15.3,0.289,0.744,0.513,0.136,0.512,0.55,94.0,92.13,76.77,2055,0.483,1,2,16,5,1,8,11,10,13,12,12,2,8,2,6,11,8,15,10,2017-18
1610612744,Golden State Warriors,21,16,5,0.762,1013.0,111.9,112.7,100.5,102.0,11.4,10.7,0.632,2.03,19.2,0.255,0.732,0.508,0.131,0.545,0.581,98.8,97.73,81.44,2058,0.572,2,1,10,1,2,1,1,1,3,1,1,9,11,3,4,2,2,8,1,2017-18
1610612745,Houston Rockets,17,11,6,0.647,816.0,106.7,108.5,106.1,107.0,0.6,1.6,0.506,1.56,14.7,0.251,0.755,0.494,0.125,0.514,0.552,97.8,96.56,80.47,1644,0.497,4,3,12,2,4,7,7,4,14,10,14,11,4,12,3,8,7,9,8,2017-18
1610612754,Indiana Pacers,7,3,4,0.429,336.0,107.4,110.3,103.0,103.4,4.4,6.9,0.548,1.61,17.1,0.274,0.735,0.507,0.144,0.542,0.567,92.8,91.43,76.19,638,0.545,9,9,1,8,10,3,2,2,11,9,8,4,10,4,11,3,4,16,2,2017-18
1610612748,Miami Heat,5,1,4,0.2,240.0,101.6,101.8,109.6,112.2,-8.0,-10.4,0.65,1.49,17.3,0.235,0.655,0.449,0.157,0.507,0.542,103.0,101.7,84.75,508,0.429,13,13,1,13,13,16,13,16,2,13,7,13,16,16,15,12,11,2,14,2017-18
1610612749,Milwaukee Bucks,7,3,4,0.429,341.0,107.7,108.7,106.1,108.8,1.6,-0.1,0.562,1.67,17.8,0.19,0.698,0.466,0.14,0.561,0.585,94.2,92.55,77.13,656,0.509,9,9,1,8,9,6,9,6,8,8,4,16,15,14,9,1,1,14,4,2017-18
1610612750,Minnesota Timberwolves,5,1,4,0.2,240.0,105.1,106.9,113.3,116.0,-8.2,-9.0,0.589,1.78,17.4,0.245,0.745,0.506,0.133,0.515,0.548,97.0,95.1,79.25,475,0.475,13,13,1,13,13,10,15,14,5,4,6,12,7,6,5,7,10,11,11,2017-18
1610612740,New Orleans Pelicans,9,5,4,0.556,432.0,105.4,105.5,105.7,107.0,-0.3,-1.4,0.627,1.86,19.0,0.215,0.762,0.497,0.139,0.533,0.562,104.6,103.89,86.57,938,0.504,8,5,1,4,8,11,8,8,4,2,2,15,3,9,8,5,5,1,5,2017-18
1610612760,Oklahoma City Thunder,6,2,4,0.333,288.0,100.7,102.9,106.1,106.9,-5.4,-4.0,0.439,1.17,12.8,0.261,0.713,0.485,0.142,0.49,0.528,100.0,98.5,82.08,590,0.469,11,11,1,11,11,14,6,11,16,16,16,7,13,13,10,15,15,5,12,2017-18
1610612755,Philadelphia 76ers,10,5,5,0.5,485.0,106.5,108.9,104.7,105.0,1.8,3.9,0.667,1.77,18.0,0.333,0.769,0.543,0.146,0.493,0.539,100.1,98.87,82.39,999,0.532,6,5,10,6,6,5,3,3,1,5,3,1,2,1,14,14,13,4,3,2017-18
1610612757,Portland Trail Blazers,4,0,4,0.0,192.0,104.3,105.5,114.7,113.9,-10.4,-8.4,0.461,1.31,14.3,0.267,0.781,0.499,0.145,0.512,0.539,100.5,100.25,83.54,400,0.426,16,16,1,16,16,12,14,13,15,14,15,6,1,8,12,10,14,3,15,2017-18
1610612759,San Antonio Spurs,5,1,4,0.2,240.0,100.3,102.1,111.2,111.9,-10.9,-9.8,0.549,1.73,15.2,0.233,0.709,0.456,0.116,0.463,0.515,95.7,94.6,78.83,474,0.418,13,13,1,13,13,15,12,15,10,7,13,14,14,15,1,16,16,12,16,2017-18
