pts_diff,fg_diff,fg3_diff,reb_diff,ast_diff,tov_diff,stl_diff,pm_diff,rest_diff,win_pct_diff,def_diff,home_court,home_win,SEASON_ID_home,TEAM_ABBREVIATION_home,TEAM_ABBREVIATION_away,predicted,correct,prob
4.700000000000003,0.01993333333333336,0.030299999999999994,-1.9333333333333371,-2.0666666666666664,0.9666666666666668,-0.9333333333333327,4.166666666666667,293.0,-0.06666666666666671,-4.700000000000003,1,0,42020,POR,DEN,0,1,0.40477118434341886
-9.277777777777771,-0.05257777777777778,-0.0012666666666666382,4.011111111111113,-1.62222222222222,-0.48888888888888893,-0.9222222222222225,-5.5,7.0,-0.35555555555555557,9.277777777777771,1,0,42020,NYK,ATL,0,1,0.1427479683610464
6.25,0.03611666666666663,0.09799999999999998,1.2666666666666657,2.5166666666666693,-0.5500000000000007,3.2,22.98,-1149.0,0.38333333333333336,-6.25,1,1,42020,PHI,WAS,1,1,0.9156492468272751
5.578947368421055,0.019781954887218067,-0.004556390977443592,0.5864661654135332,0.07518796992481214,-0.8120300751879714,1.2180451127819554,9.195488721804512,0.0,0.09774436090225563,-5.578947368421055,1,0,42020,LAC,DAL,1,0,0.5994500027803251
1.9090909090909065,0.0015272727272727105,0.08681818181818185,1.163636363636364,-2.3636363636363633,2.0545454545454547,-2.8181818181818183,7.581818181818182,-1515.0,0.3454545454545454,-1.9090909090909065,1,1,42020,UTA,MEM,1,1,0.9199023323599602
-4.700000000000003,-0.01993333333333336,-0.030299999999999994,1.9333333333333371,2.0666666666666664,-0.9666666666666668,0.9333333333333327,-4.166666666666667,0.0,0.06666666666666671,4.700000000000003,1,1,42020,DEN,POR,1,1,0.5630716883406979
11.5,0.06713636363636372,0.07713636363636361,-0.4848484848484844,3.8939393939393945,-1.8030303030303028,-0.21212121212121282,10.954545454545453,0.0,0.30303030303030304,-11.5,1,1,42020,PHX,LAL,1,1,0.8125187951959988
0.29999999999999716,0.03770000000000001,0.030916666666666703,1.1833333333333371,1.5833333333333321,-1.4499999999999993,0.6833333333333327,17.53333333333333,-292.0,0.38333333333333336,-0.29999999999999716,1,1,42020,BKN,BOS,1,1,0.8710637999927962
-6.25,-0.03611666666666663,-0.09799999999999998,-1.2666666666666657,-2.5166666666666693,0.5500000000000007,-3.2,-22.98,0.0,-0.38333333333333336,6.25,1,1,42020,WAS,PHI,0,0,0.14186354182838679
-1.9090909090909065,-0.0015272727272727105,-0.08681818181818185,-1.163636363636364,2.3636363636363633,-2.0545454545454547,2.8181818181818183,-7.581818181818182,0.0,-0.3454545454545454,1.9090909090909065,1,0,42020,MEM,UTA,0,1,0.15784502900570732
9.277777777777771,0.05257777777777778,0.0012666666666666382,-4.011111111111113,1.62222222222222,0.48888888888888893,0.9222222222222225,5.5,0.0,0.35555555555555557,-9.277777777777771,1,1,42020,ATL,NYK,1,1,0.8584918586613969
-11.5,-0.06713636363636372,-0.07713636363636361,0.4848484848484844,-3.8939393939393945,1.8030303030303028,0.21212121212121282,-10.954545454545453,0.0,-0.30303030303030304,11.5,1,0,42020,LAL,PHX,0,1,0.18956909158609647
-5.578947368421055,-0.019781954887218067,0.004556390977443592,-0.5864661654135332,-0.07518796992481214,0.8120300751879714,-1.2180451127819554,-9.195488721804512,0.0,-0.09774436090225563,5.578947368421055,1,0,42020,DAL,LAC,0,1,0.40383139626322134
-0.29999999999999716,-0.03770000000000001,-0.030916666666666703,-1.1833333333333371,-1.5833333333333321,1.4499999999999993,-0.6833333333333327,-17.53333333333333,0.0,-0.38333333333333336,0.29999999999999716,1,0,42020,BOS,BKN,0,1,0.1478439191627529
-6.25,-0.03611666666666663,-0.09799999999999998,-1.2666666666666657,-2.5166666666666693,0.5500000000000007,-3.2,-22.98,0.0,-0.38333333333333336,6.25,1,0,42020,WAS,PHI,0,1,0.14186354182838679
-1.9090909090909065,-0.0015272727272727105,-0.08681818181818185,-1.163636363636364,2.3636363636363633,-2.0545454545454547,2.8181818181818183,-7.581818181818182,0.0,-0.3454545454545454,1.9090909090909065,1,0,42020,MEM,UTA,0,1,0.15784502900570732
-12.304347826086953,-0.06671739130434784,0.00943478260869568,-6.706521739130437,-1.3260869565217384,1.6630434782608692,-0.5760869565217392,-25.630434782608695,291.0,-0.6956521739130435,12.304347826086953,1,0,42020,MIA,MIL,0,1,0.04198850150243281
4.700000000000003,0.01993333333333336,0.030299999999999994,-1.9333333333333371,-2.0666666666666664,0.9666666666666668,-0.9333333333333327,4.166666666666667,0.0,-0.06666666666666671,-4.700000000000003,1,1,42020,POR,DEN,0,0,0.44028883849124895
-0.29999999999999716,-0.03770000000000001,-0.030916666666666703,-1.1833333333333371,-1.5833333333333321,1.4499999999999993,-0.6833333333333327,-17.53333333333333,0.0,-0.38333333333333336,0.29999999999999716,1,1,42020,BOS,BKN,0,0,0.1478439191627529
-5.578947368421055,-0.019781954887218067,0.004556390977443592,-0.5864661654135332,-0.07518796992481214,0.8120300751879714,-1.2180451127819554,-9.195488721804512,0.0,-0.09774436090225563,5.578947368421055,1,0,42020,DAL,LAC,0,1,0.40383139626322134
9.277777777777771,0.05257777777777778,0.0012666666666666382,-4.011111111111113,1.62222222222222,0.48888888888888893,0.9222222222222225,5.5,0.0,0.35555555555555557,-9.277777777777771,1,1,42020,ATL,NYK,1,1,0.8584918586613969
-12.304347826086953,-0.06671739130434784,0.00943478260869568,-6.706521739130437,-1.3260869565217384,1.6630434782608692,-0.5760869565217392,-25.630434782608695,0.0,-0.6956521739130435,12.304347826086953,1,0,42020,MIA,MIL,0,1,0.048207887069273446
-11.5,-0.06713636363636372,-0.07713636363636361,0.4848484848484844,-3.8939393939393945,1.8030303030303028,0.21212121212121282,-10.954545454545453,0.0,-0.30303030303030304,11.5,1,1,42020,LAL,PHX,0,0,0.18956909158609647
4.700000000000003,0.01993333333333336,0.030299999999999994,-1.9333333333333371,-2.0666666666666664,0.9666666666666668,-0.9333333333333327,4.166666666666667,0.0,-0.06666666666666671,-4.700000000000003,1,0,42020,POR,DEN,0,1,0.44028883849124895
6.25,0.03611666666666663,0.09799999999999998,1.2666666666666657,2.5166666666666693,-0.5500000000000007,3.2,22.98,0.0,0.38333333333333336,-6.25,1,1,42020,PHI,WAS,1,1,0.8597898245409143
